make,price,mpg,rep78,headroom,trunk,weight,length,turn,displacement,gear_ratio,foreign,manufacturer
"AMC Concord",4099,22,3,2.5,11,2930,186,40,121,3.58,"Domestic","AMC"
"AMC Pacer",4749,17,3,3.0,11,3350,173,40,258,2.53,"Domestic","AMC"
"AMC Spirit",3799,22,,3.0,12,2640,168,35,121,3.08,"Domestic","AMC"
"Buick Century",4816,20,3,4.5,16,3250,196,40,196,2.93,"Domestic","Buick"
"Buick Electra",7827,15,4,4.0,20,4080,222,43,350,2.41,"Domestic","Buick"
"Buick LeSabre",5788,18,3,4.0,21,3670,218,43,231,2.73,"Domestic","Buick"
"Buick Opel",4453,26,,3.0,10,2230,170,34,304,2.87,"Domestic","Buick"
"Buick Regal",5189,20,3,2.0,16,3280,200,42,196,2.93,"Domestic","Buick"
"Buick Riviera",10372,16,3,3.5,17,3880,207,43,231,2.93,"Domestic","Buick"
"Buick Skylark",4082,19,3,3.5,13,3400,200,42,231,3.08,"Domestic","Buick"
"Cad. Deville",11385,14,3,4.0,20,4330,221,44,425,2.28,"Domestic","Cad."
"Cad. Eldorado",14500,14,2,3.5,16,3900,204,43,350,2.19,"Domestic","Cad."
"Cad. Seville",15906,21,3,3.0,13,4290,204,45,350,2.24,"Domestic","Cad."
"Chev. Chevette",3299,29,3,2.5,9,2110,163,34,231,2.93,"Domestic","Chev."
"Chev. Impala",5705,16,4,4.0,20,3690,212,43,250,2.56,"Domestic","Chev."
"Chev. Malibu",4504,22,3,3.5,17,3180,193,31,200,2.73,"Domestic","Chev."
"Chev. Monte Carlo",5104,22,2,2.0,16,3220,200,41,200,2.73,"Domestic","Chev."
"Chev. Monza",3667,24,2,2.0,7,2750,179,40,151,2.73,"Domestic","Chev."
"Chev. Nova",3955,19,3,3.5,13,3430,197,43,250,2.56,"Domestic","Chev."
"Dodge Colt",3984,30,5,2.0,8,2120,163,35,98,3.54,"Domestic","Dodge"
"Dodge Diplomat",4010,18,2,4.0,17,3600,206,46,318,2.47,"Domestic","Dodge"
"Dodge Magnum",5886,16,2,4.0,17,3600,206,46,318,2.47,"Domestic","Dodge"
"Dodge St. Regis",6342,17,2,4.5,21,3740,220,46,225,2.94,"Domestic","Dodge"
"Ford Fiesta",4389,28,4,1.5,9,1800,147,33,98,3.15,"Domestic","Ford"
"Ford Mustang",4187,21,3,2.0,10,2650,179,43,140,3.08,"Domestic","Ford"
"Linc. Continental",11497,12,3,3.5,22,4840,233,51,400,2.47,"Domestic","Linc."
"Linc. Mark V",13594,12,3,2.5,18,4720,230,48,400,2.47,"Domestic","Linc."
"Linc. Versailles",13466,14,3,3.5,15,3830,201,41,302,2.47,"Domestic","Linc."
"Merc. Bobcat",3829,22,4,3.0,9,2580,169,39,140,2.73,"Domestic","Merc."
"Merc. Cougar",5379,14,4,3.5,16,4060,221,48,302,2.75,"Domestic","Merc."
"Merc. Marquis",6165,15,3,3.5,23,3720,212,44,302,2.26,"Domestic","Merc."
"Merc. Monarch",4516,18,3,3.0,15,3370,198,41,250,2.43,"Domestic","Merc."
"Merc. XR-7",6303,14,4,3.0,16,4130,217,45,302,2.75,"Domestic","Merc."
"Merc. Zephyr",3291,20,3,3.5,17,2830,195,43,140,3.08,"Domestic","Merc."
"Olds 98",8814,21,4,4.0,20,4060,220,43,350,2.41,"Domestic","Olds"
"Olds Cutl Supr",5172,19,3,2.0,16,3310,198,42,231,2.93,"Domestic","Olds"
"Olds Cutlass",4733,19,3,4.5,16,3300,198,42,231,2.93,"Domestic","Olds"
"Olds Delta 88",4890,18,4,4.0,20,3690,218,42,231,2.73,"Domestic","Olds"
"Olds Omega",4181,19,3,4.5,14,3370,200,43,231,3.08,"Domestic","Olds"
"Olds Starfire",4195,24,1,2.0,10,2730,180,40,151,2.73,"Domestic","Olds"
